ksrl_sc_gould_ia_1_2_007,Book,Edition,Part,PlateNumber,Type,BaseFileName,FullFileName,TitleOnPiece,ArtistStatement,NamedArtists,PrinterStatement,Printer,Bird_1_CommonNameOnPiece,Bird_1_GenusOnPiece,Bird_1_SpeciesOnPiece,Bird_1_SpeciesNamers,Bird_1_AltCommonNamesOnPiece,Bird_1_OtherCommonNames,Bird_1_GenusModern,Bird_1_SpeciesModern,Bird_1_OtherGenusSpecies,Bird_1_DateCreated,Medium,Support,Size,SubjectNote,ContentNote,ArtistNote,PublicationNote,PhysicalConditionNote,Bird_2_CommonNamesOnPiece,Bird_2_GenusOnPiece,Bird_2_SpeciesOnPiece,Bird_2_SpeciesNamers,Bird_2_AltCommonNamesOnPiece,Bird_2_OtherCommonNames,Bird_2_GenusModern,Bird_2_SpeciesModern,Bird_2_DateCreated,Bird_2_OtherGenusSpecies,Bird_1_ModernNamer,Bird_1_ModernCommonName,Bird_2_ModernNamer,Bird_2_ModernCommonName,Bird_3_CommonNamesOnPiece,Bird_3_GenusOnPiece,Bird_3_SpeciesOnPiece,Bird_3_SpeciesNamers,Bird_3_AltCommonNamesOnPiece,Bird_3_OtherCommonNames,Bird_3_GenusModern,Bird_3_SpeciesModern,Bird_3_DateCreated,Bird_3_OtherGenusSpecies,Bird_3_ModernNamer,Bird_3_ModernCommonName
1,RA,1st,1,1,pl,ksrl_sc_gould_ra_1_1_001,ksrl_sc_gould_ra_1_1_001.tif,Ramphastos culmenatus,,L,,,Culmenated toucan,Ramphastos,culminatus,Gould,,,Ramphastos,vitellinus,culminatus,1833-01-01,,,,,"Species name on plate is ""culmenatus""; in text it is spelled ""culminatus""",,,,,,,,,,,,,,"Gould, 1833",,,,,,,,,,,,,,,
11,RA,1st,1,6,pl,ksrl_sc_gould_ra_1_1_006,ksrl_sc_gould_ra_1_1_006.tif,Ramphastos toco,,L,,C. Hullmandel,Toco toucan,Ramphastos,toco,Gould,,,Ramphastos,toco,toco,1833-01-01,,,,,,,,,,,,,,,,,,,"Statius Muller, 1776",,,,,,,,,,,,,,,
947,AS,1st,5,16,pl,ksrl_sc_gould_as_1_5_016,ksrl_sc_gould_as_1_5_016.tif,,,"JG,R",,"CH, W",Burton's grosbeak,Fringilla,burtoni,,,,Callacanthis,burtoni,,1850-01-01,,,,,,,,,,,,,,,,,,,"Gould, 1838",Spectacled Finch,,,,,,,,,,,,,,
229,AS,1st,2,1,pl,ksrl_sc_gould_as_1_2_001,ksrl_sc_gould_as_1_2_001.tif,,,"JG,R",,"CH, W",Green cochoa,Cochoa,viridis,,,,Cochoa,viridis,,1850-01-01,,,,,,,,,,,,,,,,,,,"Hodgson, 1836",Green Cochoa,,,,,,,,,,,,,,
232,AS,1st,2,2,pl,ksrl_sc_gould_as_1_2_002,ksrl_sc_gould_as_1_2_002.tif,,,"JG,R",,"CH, W",Purple cochoa,Cochoa,purpurea,,,,Cochoa,purpurea,,1850-01-01,,,,,,,,,,,,,,,,,,,"Hodgson, 1836",Purple Cochoa,,,,,,,,,,,,,,
19,AS,1st,1,7,pl,ksrl_sc_gould_as_1_1_007,ksrl_sc_gould_as_1_1_007.tif,,,"W,R",,"CH, W",Jugger falcon,Falco,jugger,,,,Falco,jugger,,1850-01-01,,,,,,,,,,,,,,,,,,,"J. E. Gray, 1834",Laggar Falcon,,,,,,,,,,,,,,
1076,AS,1st,5,59,pl,ksrl_sc_gould_as_1_5_059,ksrl_sc_gould_as_1_5_059.tif,,,"JG,R",,"CH, W",Many-spotted nutcracker,Nucifraga,multipunctata,,,,Nucifraga,caryocatactes,,1850-01-01,,,,,,,,,,,,,,,,,,,"Linnaeus, 1758",Spotted Nutcracker,,,,,,,,,,,,,,
241,AS,1st,2,5,pl,ksrl_sc_gould_as_1_2_005,ksrl_sc_gould_as_1_2_005.tif,,,"JG,R",,"CH, WALTON",Yellow-throated pericrocotus,Pericrocotus,solaris,,,,Pericrocotus,solaris,,1850-01-01,,,,,,,,,,,,,,,,,,,"Blyth, 1846",Grey-chinned Minivet,,,,,,,,,,,,,,
244,AS,1st,2,6,pl,ksrl_sc_gould_as_1_2_006,ksrl_sc_gould_as_1_2_006.tif,,,"JG,R",,"CH, WALTON",Cawnpore pericrocotus,Pericrocotus,erythropygius,,,,Pericrocotus,erythropygius,,1850-01-01,,,,,,,,,,,,,,,,,,,"Jerdon, 1840",White-bellied Minivet,,,,,,,,,,,,,,
1256,AS,1st,6,36,pl,ksrl_sc_gould_as_1_6_036,ksrl_sc_gould_as_1_6_036.tif,,,"JG,R",,"CH, W",Yellow-naped woodpecker,Chrysophlegma,flavinucha,,,,Picus,flavinucha,,1850-01-01,,,,,,,,,,,,,,,,,,,"Gould, 1834",Greater Yellownape,,,,,,,,,,,,,,
