GouldNumber,OriginalSubject,BaseFilename,FullFileName,Bird_1_GenusOnPiece,Bird_1_SpeciesOnPiece,Bird_1_CommonNameOnPiece,Bird_1_DateCreated,Bird_1_Medium,SubjectNote,Support,Artists-original,Artists,NamedArtists-original,NamedArtists,Book-ed,Book,Edition,Part,PlateNumber,SecondBook,SecondPart,SecondPlateNumber,PublicationNote,OriginalNoteworthyNote,OriginalNote,ArtistNote,GeneralNote,Size,ContentNote,PhysicalConditionNote,Bird_2_GenusOnPiece,Bird_2_SpeciesOnPiece,Bird_2_CommonNameOnPiece
811,Dacelo cervina,ksrl_sc_gould_0811,ksrl_sc_gould_0811.tif,Dacelo,cervina,,,pencil and watercolor paint on paper,Dacelo cervina,,,,,,AU_1,AU,1,2,2,,,,,,,,,28 x 19cm,3 head studies: a. uncolored litho print (from the canceled Birds of Australia  2: 2); b. pencil; c. colored litho (apparently from neither a. nor Birds of Australia  2:  20; all cut out and mounted on a single sheet.,,,,
2336.0,"Acrocephalus longirostris, A. australis (eggs)",ksrl_sc_gould_2336D,ksrl_sc_gould_2336D.tif,Acrocephalus,longirostris,,,,1. Acrocephalus longirostris.  2.  A. australis.  (eggs),,,,,,,,,,,,,,Unpublished,,"See general Notes at Gould 2296.  Gould 2336A-2336D is an uncolored litho print sheet of 4 plates, folded but uncut.  Gould 2336D shows 4 eggs. Identical to Gould 2339.    A drawing in the Mitchell Library, Sydney, bears in pencil the binomial used for this print.  Previously cited as GCS O-41, and marked in pencil on reverse of each plate, in the form GCS O-41a etc.  Gift of Dr. Gordon C. Sauer.",,See General Notes at Gould 2296.,,"Gould 2336a-2336d is an uncolored litho print sheet of 4 plates, folded but uncut.  Gould 2336d shows 4 eggs. Identical to Gould 2339.    A drawing in the Mitchell Library, Sydney, bears in pencil the binomial used for this print.  Previously cited as GCS O-41, and marked in pencil on reverse of each plate, in the form GCS O-41a etc.",,Acrocephalus,australis,
2339,"Acrocephalus longirostris, A. australis (eggs)",ksrl_sc_gould_2339,ksrl_sc_gould_2339.tif,Acrocephalus,longirostris,,,,1. Acrocephalus longirostris.  2.  A. australis.  (eggs),,,,,,,,,,,,,,Unpublished,,"See general Notes at Gould 2296.  Uncolored litho print of 4 eggs. Identical to Gould 2336D.  A drawing in the Mitchell Library, Sydney, bears in pencil the binomial used for this print.  Previously cited as GCS O-44, and so marked in pencil on reverse.  Gift of Dr. Gordon C. Sauer.",,See General Notes at Gould 2296.,28 x 19cm,"Uncolored litho print of 4 eggs. Identical to Gould 2336d.  A drawing in the Mitchell Library, Sydney, bears in pencil the binomial used for this print.  Previously cited as GCS O-44, and so marked in pencil on reverse.",,Acrocephalus,australis,
1107,Amblyornis flavifrons &  Amblyornis inornatus,ksrl_sc_gould_1107,ksrl_sc_gould_1107.tif,Amblyornis,flavifrons,,,pencil and watercolor paint on paper,Amblyornis flavifrons &  Amblyornis inornatus,,JGK,JG;K,H,H,PA_1,PA,1,2,20,,,,,,"Well finished painting, signed by J.G. Keulemans with his distinctive monogram; 2 notes on color; note, apparently by J.G.K., on differences between the two species; at head of sheet: ""See Dr. Sharpe before colouring Pattern""; published plate copied very closely from Keulemans' work (which is not acknowledged);  at foot of sheet: ""35/"" (Sotheran price).   Reverse: ""2016  35/-"" (Sotheran: see Gould 0969).  41 x 28cm.","Signed by J.G. Keulemans with his distinctive monogram; 2 notes on color; note, apparently by J.G.K., on differences between the two species; at head of sheet: ""See Dr. Sharpe before colouring Pattern""","""2016  35/-""  on other side (Sotheran: see Gould 0969)",41 x 28cm,"Well finished painting; published plate copied very closely from Keulemans' work (which is not acknowledged);  at foot of sheet: ""35/"" (Sotheran price).",,Amblyornis,inornatus,
2343,"Artamus cinereus, A. sordidus  (eggs)",ksrl_sc_gould_2343,ksrl_sc_gould_2343.tif,Artamus,cinereus,,,,1. Artamus cinereus.  2. A. sordidus.  (eggs),,,,,,,,,,,,,,Unpublished,,"See general Notes at Gould 2296.  Uncolored litho print of 5 small eggs. Identical to Gould 2342.  A drawing in the Mitchell Library, Sydney, bears in pencil the binomials used for this print.  Previously cited as GCS O-48, and so marked in pencil on reverse.  Gift of Dr. Gordon C. Sauer.",,See General Notes at Gould 2296.,,"Uncolored litho print of 5 small eggs. Identical to Gould 2342.  A drawing in the Mitchell Library, Sydney, bears in pencil the binomials used for this print.  Previously cited as GCS O-48, and so marked in pencil on reverse.",,Artamus,sordidus,
2342,"Artamus cinereus, A. sordidus  (eggs)",ksrl_sc_gould_2342,ksrl_sc_gould_2342.tif,Artamus,cinereus,,,,1. Artamus cinereus.  2. A. sordidus.  (eggs),,,,,,,,,,,,,,Unpublished,,"See general Notes at Gould 2296.  Uncolored litho print of 5 small eggs. Identical to Gould 2343.  A drawing in the Mitchell Library, Sydney, bears in pencil the binomials used for this print.  Previously cited as GCS O-47, and so marked in pencil on reverse.  Gift of Dr. Gordon C. Sauer.",,See General Notes at Gould 2296.,,"Uncolored litho print of 5 small eggs. Identical to Gould 2343.  A drawing in the Mitchell Library, Sydney, bears in pencil the binomials used for this print.  Previously cited as GCS O-47, and so marked in pencil on reverse.",,Artamus,sordidus,
0065a,"Ardea cinerea; (Botaurus stellaris, leg only)",ksrl_sc_gould_0065a,ksrl_sc_gould_0065.tif,Ardea,cinerea,,1865,pencil and watercolor paint on paper,"Ardea cinerea; (Botaurus stellaris, leg only)",,G,JG,G;R,JG;R,GB_1,GB,1,4,20,,,,,,"Head and leg studies, not directly used in published plates, and some 250 words of notes on place (not the same as in the published text) and date of collection, size, weight, and coloring.  Reverse: uncolored litho print of Halmaturus billarderii; ""120"".  FS",,See also image on other side.,,"Head and leg studies (Botaurus stellaris, leg only), not directly used in published plates, and some 250 words of notes on place (not the same as in the published text) and date of collection, size, weight, and coloring.",Full sheet,Botaurus,stellaris,
409,"Calyptorhynchus cookii, naso, banksii",ksrl_sc_gould_0409,ksrl_sc_gould_0409.tif,Calyptorhynchus,cookii,,,pencil and watercolor paint on paper,"Calyptorhynchus cookii, naso, banksii",,,,,,AU_1,AU,1,5,"7, 9",,,,,,"Reference illustration?  Comparative studies of the bills and eyes of the three birds; the base illustration is lithographed, but clearly not for a folio plate; 27 x 19cm.",,,27 x 19cm,"Reference illustration?  Comparative studies of the bills and eyes of the three birds; the base illustration is lithographed, but clearly not for a folio plate.",,Calyptorhynchus,naso,
360,[Florisuga mellivora],ksrl_sc_gould_0360,ksrl_sc_gould_0360.tif,Florisuga,mellivora,,,pencil and watercolor paint on paper,[Florisuga mellivora],,R,R,G;R,JG;R,HB_1,HB,1,2,113,,,,,,"Highly finished painting of Erythrina umbrosa. 2 birds roughly pencilled in, one of them labeled as Campyloptera modestus, not listed in Sharpe.  At foot: ""Flower of the bois immortel Trinidad, also in Barbados.""  Sheet trimmed to ca. 42 x 28cm.",,,42 x 28cm,"Highly finished painting of Erythrina umbrosa. 2 birds roughly pencilled in, one of them labeled as Campyloptera modestus, not listed in Sharpe's Index.  At foot: ""Flower of the bois immortel [tree] Trinidad, also in Barbados.""",Sheet trimmed,Campyloptera,modestus,
2212,Carduelis caniceps [&] C. spinoides,ksrl_sc_gould_2212,ksrl_sc_gould_2212.tif,Carduelis,caniceps,,1831-1833,,Carduelis caniceps & C. spinoides,,EG,EG,EG,EG,HM_1,HM,1,1,33,,,,,,"Colored litho print.  Note in ink on right ""Both Birds rather too dull.""  At top right corner ""Pattern"" in ink.  See Notes to Gould 2179.",,See Notes to Gould 2179.,,"Colored litho print.  Note in ink on right ""Both Birds rather too dull.""  At top right corner ""Pattern"" in ink.",,Carduelis,spinoides,
